[2026-08-16 23:42:05] NEAR MISS - would be BUY 2/4, 1 short @ 4374.41 | RSI 44.85 | Trend(H1) UP | reasons: Price near support (4372.16), H1 trend is UP
[2026-08-16 23:56:22] NEAR MISS - would be BUY 2/4, 1 short @ 4369.06 | RSI 35.81 | Trend(H1) UP | reasons: Price near support (4367.40), H1 trend is UP
[2026-08-17 04:25:00] NEAR MISS - would be BUY 2/4, 1 short @ 4398.97 | RSI 60.61 | Trend(H1) UP | reasons: RSI healthy/bullish at 60.6, H1 trend is UP
[2026-08-17 08:23:46] NEAR MISS - would be BUY 2/4, 1 short @ 4402.41 | RSI 55.54 | Trend(H1) UP | reasons: RSI healthy/bullish at 55.5, H1 trend is UP
[2026-08-17 09:07:20] NEAR MISS - would be BUY 2/4, 1 short @ 4395.48 | RSI 48.74 | Trend(H1) UP | reasons: Price near support (4392.40), H1 trend is UP
[2026-08-17 09:56:02] NEAR MISS - would be BUY 2/4, 1 short @ 4395.24 | RSI 48.36 | Trend(H1) UP | reasons: Price near support (4393.22), H1 trend is UP
[2026-08-17 10:27:44] NEAR MISS - would be BUY 2/4, 1 short @ 4396.2 | RSI 49.54 | Trend(H1) UP | reasons: Price near support (4393.22), H1 trend is UP
[2026-08-17 12:31:34] NEAR MISS - would be BUY 2/4, 1 short @ 4389.28 | RSI 40.73 | Trend(H1) UP | reasons: Price near support (4389.04), H1 trend is UP
[2026-08-17 13:25:27] NEAR MISS - would be BUY 2/4, 1 short @ 4387.64 | RSI 42.76 | Trend(H1) UP | reasons: Price near support (4386.04), H1 trend is UP
[2026-08-17 14:35:22] NEAR MISS - would be BUY 2/4, 1 short @ 4417.8 | RSI 67.37 | Trend(H1) UP | reasons: RSI healthy/bullish at 67.4, H1 trend is UP
[2026-08-17 14:59:46] NEAR MISS - would be BUY 2/4, 1 short @ 4420.57 | RSI 68.83 | Trend(H1) UP | reasons: RSI healthy/bullish at 68.8, H1 trend is UP
[2026-08-17 15:31:09] NEAR MISS - would be BUY 2/4, 1 short @ 4425.17 | RSI 68.57 | Trend(H1) UP | reasons: RSI healthy/bullish at 68.6, H1 trend is UP
[2026-08-17 15:57:59] NEAR MISS - would be BUY 2/4, 1 short @ 4421.26 | RSI 64.31 | Trend(H1) UP | reasons: RSI healthy/bullish at 64.3, H1 trend is UP
[2026-08-17 16:28:32] NEAR MISS - would be BUY 2/4, 1 short @ 4426.57 | RSI 67.12 | Trend(H1) UP | reasons: RSI healthy/bullish at 67.1, H1 trend is UP
[2026-08-17 16:56:29] NEAR MISS - would be BUY 2/4, 1 short @ 4426.08 | RSI 65.33 | Trend(H1) UP | reasons: RSI healthy/bullish at 65.3, H1 trend is UP
[2026-08-17 17:54:06] NEAR MISS - would be BUY 2/4, 1 short @ 4415.95 | RSI 53.7 | Trend(H1) UP | reasons: RSI healthy/bullish at 53.7, H1 trend is UP
[2026-08-17 18:29:24] NEAR MISS - would be BUY 2/4, 1 short @ 4412.48 | RSI 49.95 | Trend(H1) UP | reasons: Price near support (4411.51), H1 trend is UP
[2026-08-17 19:08:21] NEAR MISS - would be SELL 2/4, 1 short @ 4406.05 | RSI 43.87 | Trend(H1) UP | reasons: RSI healthy/bearish at 43.9, Price near resistance (4406.83)
[2026-08-17 22:18:04] SUPPRESSED (volatility) - would have been BUY 3/4 @ 4416.79 | ATR 4.606 vs baseline 6.936 (ratio 0.7) | reasons: RSI healthy/bullish at 54.3, Price near support (4414.66), H1 trend is UP
[2026-08-17 22:48:31] SUPPRESSED (volatility) - would have been BUY 3/4 @ 4415.05 | ATR 4.523 vs baseline 6.88 (ratio 0.7) | reasons: RSI healthy/bullish at 51.2, Price near support (4414.66), H1 trend is UP
[2026-08-17 23:17:09] NEAR MISS - would be BUY 2/4, 1 short @ 4413.91 | RSI 49.67 | Trend(H1) UP | reasons: Price near support (4411.51), H1 trend is UP
[2026-08-17 23:44:38] SUPPRESSED (volatility) - would have been BUY 3/4 @ 4420.31 | ATR 4.717 vs baseline 6.797 (ratio 0.7) | reasons: RSI healthy/bullish at 58.3, Price near support (4418.21), H1 trend is UP
[2026-08-18 00:00:48] NEAR MISS - would be BUY 2/4, 1 short @ 4423.97 | RSI 62.4 | Trend(H1) UP | reasons: RSI healthy/bullish at 62.4, H1 trend is UP
[2026-08-18 02:50:28] NEAR MISS - would be BUY 2/4, 1 short @ 4394.63 | RSI 31.58 | Trend(H1) UP | reasons: Price near support (4394.06), H1 trend is UP
[2026-08-18 03:39:03] NEAR MISS - would be BUY 2/4, 1 short @ 4397.33 | RSI 36.12 | Trend(H1) UP | reasons: Price near support (4394.06), H1 trend is UP
[2026-08-18 04:19:58] NEAR MISS - would be BUY 2/4, 1 short @ 4392.79 | RSI 33.68 | Trend(H1) UP | reasons: Price near support (4390.01), H1 trend is UP
[2026-08-18 05:00:57] NEAR MISS - would be BUY 2/4, 1 short @ 4394.07 | RSI 36.09 | Trend(H1) UP | reasons: Price near support (4394.06), H1 trend is UP
[2026-08-18 05:43:45] NEAR MISS - would be BUY 2/4, 1 short @ 4393.49 | RSI 37.12 | Trend(H1) UP | reasons: Price near support (4390.97), H1 trend is UP
[2026-08-18 06:03:16] NEAR MISS - would be BUY 2/4, 1 short @ 4395.6 | RSI 42.27 | Trend(H1) UP | reasons: Price near support (4394.45), H1 trend is UP
[2026-08-18 07:02:48] NEAR MISS - would be BUY 2/4, 1 short @ 4397.84 | RSI 45.78 | Trend(H1) UP | reasons: Price near support (4394.45), H1 trend is UP
[2026-08-18 07:52:19] NEAR MISS - would be BUY 2/4, 1 short @ 4400.69 | RSI 49.85 | Trend(H1) UP | reasons: Price near support (4399.06), H1 trend is UP
[2026-08-18 08:28:07] NEAR MISS - would be BUY 2/4, 1 short @ 4394.97 | RSI 42.58 | Trend(H1) UP | reasons: Price near support (4394.45), H1 trend is UP
[2026-08-18 09:03:25] NEAR MISS - would be BUY 2/4, 1 short @ 4393.22 | RSI 43.82 | Trend(H1) UP | reasons: Price near support (4390.97), H1 trend is UP
[2026-08-18 09:47:18] NEAR MISS - would be BUY 2/4, 1 short @ 4388.13 | RSI 38.8 | Trend(H1) UP | reasons: Price near support (4387.31), H1 trend is UP
